Date,Price,Open,High,Low,Volume,Chg%
07-05-2021,73.252,73.619,73.757,73.251,4.05K,-0.47%
10-05-2021,73.45,73.302,73.49,73.273,4.71K,0.27%
11-05-2021,73.37,73.5,73.546,73.281,4.42K,-0.11%
12-05-2021,73.53,73.38,73.544,73.368,2.14K,0.22%
13-05-2021,73.47,73.629,73.654,73.475,0.95K,-0.08%
14-05-2021,73.29,73.465,73.492,73.188,2.18K,-0.24%
17-05-2021,73.33,73.305,73.335,73.149,2.01K,0.05%
18-05-2021,73.05,73.219,73.271,72.956,2.11K,-0.38%
19-05-2021,73.21,73.139,73.257,72.931,2.15K,0.22%
20-05-2021,73.01,73.18,73.238,73.015,2.23K,-0.27%
21-05-2021,72.817,73.022,73.09,72.756,2.15K,-0.26%
24-05-2021,72.83,72.885,72.981,72.822,2.24K,0.02%
25-05-2021,72.79,72.867,72.885,72.745,2.19K,-0.05%
26-05-2021,72.72,72.805,72.805,72.627,1.01K,-0.10%
27-05-2021,72.7,72.704,72.796,72.501,2.30K,-0.03%
28-05-2021,72.4,72.69,72.69,72.315,2.28K,-0.41%
31-05-2021,72.511,72.395,72.656,72.343,4.12K,0.15%
01-06-2021,72.86,72.508,72.963,72.483,5.22K,0.48%
02-06-2021,72.95,72.86,73.325,72.855,5.36K,0.12%
03-06-2021,73.04,73.037,73.185,72.833,4.74K,0.12%
04-06-2021,72.86,73.032,73.133,72.819,4.68K,-0.25%
07-06-2021,72.786,72.92,72.939,72.741,2.31K,-0.10%
08-06-2021,72.95,72.796,72.978,72.763,2.14K,0.23%
09-06-2021,72.98,72.945,73.02,72.881,2.18K,0.04%
10-06-2021,73.07,72.965,73.134,72.932,2.03K,0.12%
11-06-2021,73.24,73.027,73.265,72.889,2.01K,0.23%
14-06-2021,73.18,73.282,73.307,73.099,2.09K,-0.08%
15-06-2021,73.35,73.228,73.378,73.151,1.99K,0.23%
16-06-2021,73.27,73.355,73.394,73.26,2.05K,-0.11%
17-06-2021,74.162,73.595,74.247,73.565,2.45K,1.22%
18-06-2021,74.1,74.19,74.283,73.804,2.62K,-0.08%
21-06-2021,74.13,74.094,74.338,74.053,5.28K,0.04%
22-06-2021,74.33,74.112,74.415,74.043,5.24K,0.27%
23-06-2021,74.14,74.345,74.398,74.054,4.45K,-0.26%
24-06-2021,74.18,74.223,74.274,74.111,4.46K,0.05%
25-06-2021,74.21,74.188,74.256,74.114,3.81K,0.04%
28-06-2021,74.27,74.183,74.317,74.161,1.87K,0.08%
29-06-2021,74.29,74.293,74.348,74.2,2.05K,0.03%
30-06-2021,74.36,74.215,74.471,74.205,2.16K,0.09%
01-07-2021,74.56,74.374,74.64,74.332,4.31K,0.27%
02-07-2021,74.512,74.561,74.885,74.504,5.00K,-0.06%
05-07-2021,74.288,74.553,74.57,74.262,4.33K,-0.30%
06-07-2021,74.582,74.328,74.625,74.236,4.97K,0.40%
07-07-2021,74.79,74.771,74.815,74.567,5.29K,0.28%
08-07-2021,74.73,74.759,74.87,74.652,4.73K,-0.08%
09-07-2021,74.485,74.772,74.787,74.47,4.47K,-0.33%
12-07-2021,74.53,74.552,74.673,74.402,4.52K,0.06%
13-07-2021,74.59,74.537,74.68,74.398,4.29K,0.08%
14-07-2021,74.46,74.672,74.675,74.459,4.35K,-0.17%
15-07-2021,74.54,74.454,74.575,74.434,2.27K,0.11%
16-07-2021,74.606,74.549,74.668,74.498,4.37K,0.09%
19-07-2021,74.851,74.702,75.031,74.691,4.36K,0.33%
20-07-2021,74.53,74.967,74.982,74.535,4.71K,-0.43%
21-07-2021,74.486,74.527,74.64,74.493,1.00K,-0.06%
22-07-2021,74.45,74.438,74.53,74.304,4.59K,-0.05%
23-07-2021,74.425,74.467,74.577,74.374,2.41K,-0.03%
26-07-2021,74.33,74.462,74.537,74.33,4.14K,-0.13%
27-07-2021,74.498,74.275,74.545,74.275,4.57K,0.23%
28-07-2021,74.49,74.546,74.549,74.309,4.09K,-0.01%
29-07-2021,74.245,74.382,74.431,74.218,4.20K,-0.33%
30-07-2021,74.337,74.252,74.45,74.245,4.27K,0.12%
02-08-2021,74.354,74.368,74.434,74.316,3.96K,0.02%
03-08-2021,74.249,74.335,74.382,74.203,4.25K,-0.14%
04-08-2021,74.149,74.218,74.261,74.081,4.22K,-0.13%
05-08-2021,74.098,74.175,74.29,74.086,2.41K,-0.07%
06-08-2021,74.24,74.082,74.247,74.045,2.41K,0.19%
09-08-2021,74.48,74.262,74.502,74.197,3.36K,0.32%
10-08-2021,74.43,74.453,74.507,74.334,4.42K,-0.07%
11-08-2021,74.253,74.425,74.495,74.201,4.00K,-0.24%
12-08-2021,74.31,74.1,74.339,74.1,4.21K,0.08%
13-08-2021,74.239,74.266,74.326,74.24,3.14K,-0.10%
16-08-2021,74.16,74.224,74.297,74.117,0.85K,-0.11%
17-08-2021,74.37,74.145,74.394,74.133,2.25K,0.28%
18-08-2021,74.28,74.338,74.354,74.227,1.92K,-0.12%
19-08-2021,74.37,74.285,74.458,74.261,1.05K,0.12%
20-08-2021,74.347,74.385,74.48,74.325,2.38K,-0.03%
23-08-2021,74.12,74.274,74.309,74.084,2.12K,-0.31%
24-08-2021,74.133,74.106,74.232,74.087,1.92K,0.02%
25-08-2021,74.11,74.145,74.305,74.12,2.14K,-0.03%
26-08-2021,74.15,74.1,74.275,74.094,2.19K,0.05%
27-08-2021,73.47,74.15,74.207,73.455,20.69K,-0.92%
30-08-2021,73.292,73.451,73.563,73.188,5.17K,-0.24%
31-08-2021,72.947,73.421,73.421,72.907,2.39K,-0.47%
01-09-2021,72.99,72.992,73.16,72.913,5.01K,0.06%
02-09-2021,72.993,72.987,73.126,72.94,4.52K,0.00%
03-09-2021,72.982,73.024,73.156,72.934,4.18K,-0.02%
06-09-2021,73.073,73.02,73.128,72.987,2.14K,0.12%
07-09-2021,73.44,73.1,73.496,73.06,4.82K,0.50%
08-09-2021,73.769,73.396,73.867,73.389,5.68K,0.45%
09-09-2021,73.52,73.732,73.873,73.485,6.04K,-0.34%
10-09-2021,73.517,73.557,73.577,73.382,1.43K,0.00%
13-09-2021,73.56,73.565,73.79,73.555,4.56K,0.06%
14-09-2021,73.64,73.536,73.73,73.526,5.00K,0.11%
15-09-2021,73.44,73.647,73.74,73.421,4.99K,-0.27%
16-09-2021,73.57,73.45,73.618,73.335,5.41K,0.18%
17-09-2021,73.64,73.542,73.66,73.413,5.31K,0.10%
20-09-2021,73.646,73.847,73.858,73.615,5.14K,0.01%
21-09-2021,73.74,73.65,73.765,73.555,4.89K,0.13%
22-09-2021,73.8,73.757,73.935,73.655,5.26K,0.08%
23-09-2021,73.8,73.875,73.913,73.594,5.42K,0.00%
24-09-2021,73.813,73.844,73.877,73.615,4.78K,0.02%
27-09-2021,73.82,73.69,73.886,73.61,4.95K,0.01%
28-09-2021,74.19,73.8,74.254,73.729,5.47K,0.50%
29-09-2021,74.276,74.157,74.343,74.079,5.50K,0.12%
30-09-2021,74.164,74.325,74.368,74.121,5.20K,-0.15%
01-10-2021,74.131,74.185,74.375,74.081,5.44K,-0.05%
04-10-2021,74.568,74.145,74.598,74.12,3.00K,0.59%
05-10-2021,74.54,74.573,74.673,74.409,5.78K,-0.04%
06-10-2021,74.758,74.532,75.057,74.52,5.69K,0.29%
07-10-2021,74.805,74.768,74.935,74.699,6.98K,0.06%
08-10-2021,75.112,74.851,75.183,74.824,3.16K,0.41%
11-10-2021,75.383,75.125,75.544,75.052,6.50K,0.36%
12-10-2021,75.468,75.44,75.683,75.161,6.49K,0.11%
13-10-2021,75.287,75.503,75.522,75.178,5.88K,-0.24%
14-10-2021,74.976,75.266,75.369,74.97,5.45K,-0.41%
15-10-2021,75.013,74.99,75.074,74.881,2.33K,0.05%
18-10-2021,75.19,75.034,75.394,75.034,5.07K,0.24%
19-10-2021,75.101,75.24,75.275,74.877,1.38K,-0.12%
20-10-2021,74.79,75.085,75.192,74.748,5.36K,-0.41%
21-10-2021,74.869,74.825,74.929,74.689,5.31K,0.11%
22-10-2021,74.994,74.884,75.009,74.672,4.92K,0.17%
25-10-2021,75.017,74.96,75.187,74.887,48.09K,0.03%
26-10-2021,74.937,75.022,75.174,74.862,57.98K,-0.11%
27-10-2021,75.064,74.942,75.11,74.884,68.68K,0.17%
28-10-2021,74.783,75.069,75.144,74.75,67.43K,-0.37%
29-10-2021,74.915,74.788,75.034,74.74,67.39K,0.18%
01-11-2021,74.832,74.96,75.045,74.794,51.38K,-0.11%
02-11-2021,74.69,74.837,74.91,74.57,65.81K,-0.19%
03-11-2021,74.447,74.7,74.745,74.394,77.19K,-0.33%
04-11-2021,74.543,74.45,74.567,74.229,67.66K,0.13%
05-11-2021,74.174,74.548,74.57,74.164,53.61K,-0.49%
08-11-2021,73.904,74.221,74.283,73.876,5.39K,-0.36%
09-11-2021,74.17,73.925,74.175,73.834,5.54K,0.36%
10-11-2021,74.398,74.175,74.428,74.064,6.99K,0.31%
11-11-2021,74.296,74.41,74.592,74.274,5.77K,-0.14%
12-11-2021,74.342,74.341,74.545,74.287,5.29K,0.06%
15-11-2021,74.375,74.373,74.495,74.315,4.84K,0.04%
